Year,Region,Event_Type,Impact_Level,Casualties,Economic_Loss,Description
1950,North America,Reform,Medium,0,0,A reform occurred in North America around 1950 with medium impact.
1976,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1976 with medium impact.
1850,South America,Pandemic,Medium,111834,0,A pandemic occurred in South America around 1850 with medium impact.
1860,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1860 with medium impact.
1947,North America,Reform,Medium,0,0,A reform occurred in North America around 1947 with medium impact.
1805,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1805 with medium impact.
1870,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1870 with high impact.
1999,Oceania,War,High,781369,266678430,A war occurred in Oceania around 1999 with high impact.
2013,North America,Pandemic,Low,636553,0,A pandemic occurred in North America around 2013 with low impact.
2005,North America,Revolution,High,199367,0,A revolution occurred in North America around 2005 with high impact.
1958,North America,Reform,High,0,0,A reform occurred in North America around 1958 with high impact.
1996,Oceania,Reform,Low,0,0,A reform occurred in Oceania around 1996 with low impact.
1960,Europe,Reform,High,0,0,A reform occurred in Europe around 1960 with high impact.
1810,North America,Pandemic,Medium,34985,0,A pandemic occurred in North America around 1810 with medium impact.
1948,North America,Reform,Low,0,0,A reform occurred in North America around 1948 with low impact.
1823,North America,Economic Crisis,High,0,223071524,A economic crisis occurred in North America around 1823 with high impact.
1844,Asia,Revolution,High,919035,0,A revolution occurred in Asia around 1844 with high impact.
1893,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1893 with medium impact.
2012,Asia,Economic Crisis,Medium,0,432980213,A economic crisis occurred in Asia around 2012 with medium impact.
1875,Oceania,Pandemic,Medium,843298,0,A pandemic occurred in Oceania around 1875 with medium impact.
1829,South America,War,Low,790785,121125964,A war occurred in South America around 1829 with low impact.
2020,Oceania,Reform,High,0,0,A reform occurred in Oceania around 2020 with high impact.
1901,Middle East,Pandemic,High,383542,0,A pandemic occurred in Middle East around 1901 with high impact.
1823,Middle East,Discovery,Low,0,0,A discovery occurred in Middle East around 1823 with low impact.
1867,Africa,War,Medium,386490,361221985,A war occurred in Africa around 1867 with medium impact.
1991,Oceania,Economic Crisis,High,0,204561504,A economic crisis occurred in Oceania around 1991 with high impact.
2010,Oceania,Economic Crisis,Low,0,362300116,A economic crisis occurred in Oceania around 2010 with low impact.
1859,South America,War,High,927187,301403292,A war occurred in South America around 1859 with high impact.
1883,Africa,Revolution,High,66287,0,A revolution occurred in Africa around 1883 with high impact.
1962,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1962 with high impact.
1877,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1877 with low impact.
1835,Europe,War,Medium,516554,62341708,A war occurred in Europe around 1835 with medium impact.
1824,Asia,Peace Treaty,Low,0,0,A peace treaty occurred in Asia around 1824 with low impact.
1899,South America,Economic Crisis,High,0,398970314,A economic crisis occurred in South America around 1899 with high impact.
1978,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1978 with high impact.
1990,Oceania,Revolution,Medium,686735,0,A revolution occurred in Oceania around 1990 with medium impact.
1825,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1825 with high impact.
1904,North America,War,High,388528,116645773,A war occurred in North America around 1904 with high impact.
1913,South America,Revolution,Medium,104180,0,A revolution occurred in South America around 1913 with medium impact.
1975,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 1975 with high impact.
1891,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1891 with medium impact.
1848,Europe,Pandemic,Medium,96126,0,A pandemic occurred in Europe around 1848 with medium impact.
1969,Asia,Reform,High,0,0,A reform occurred in Asia around 1969 with high impact.
1952,Europe,War,Medium,255400,67604868,A war occurred in Europe around 1952 with medium impact.
2001,Africa,Revolution,Low,870127,0,A revolution occurred in Africa around 2001 with low impact.
1995,Africa,Revolution,High,226441,0,A revolution occurred in Africa around 1995 with high impact.
2008,Middle East,Revolution,Medium,811984,0,A revolution occurred in Middle East around 2008 with medium impact.
1837,Middle East,Peace Treaty,Low,0,0,A peace treaty occurred in Middle East around 1837 with low impact.
1870,Middle East,Revolution,Low,566456,0,A revolution occurred in Middle East around 1870 with low impact.
1864,Middle East,Revolution,Low,693169,0,A revolution occurred in Middle East around 1864 with low impact.
1806,Asia,War,Medium,828358,423285959,A war occurred in Asia around 1806 with medium impact.
1860,Africa,Economic Crisis,Low,0,93547717,A economic crisis occurred in Africa around 1860 with low impact.
1867,Europe,Revolution,High,441409,0,A revolution occurred in Europe around 1867 with high impact.
1934,Europe,Reform,Low,0,0,A reform occurred in Europe around 1934 with low impact.
1921,South America,Pandemic,Medium,538169,0,A pandemic occurred in South America around 1921 with medium impact.
1951,Europe,Discovery,High,0,0,A discovery occurred in Europe around 1951 with high impact.
1856,Africa,War,High,821273,487882344,A war occurred in Africa around 1856 with high impact.
1968,Africa,Economic Crisis,Medium,0,345390898,A economic crisis occurred in Africa around 1968 with medium impact.
1807,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1807 with medium impact.
1909,Oceania,War,Medium,747006,488391912,A war occurred in Oceania around 1909 with medium impact.
1913,Europe,War,Medium,637846,79636119,A war occurred in Europe around 1913 with medium impact.
1816,Asia,Economic Crisis,High,0,339880479,A economic crisis occurred in Asia around 1816 with high impact.
1949,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1949 with medium impact.
1897,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1897 with medium impact.
1916,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1916 with medium impact.
1825,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1825 with low impact.
2018,Oceania,Reform,High,0,0,A reform occurred in Oceania around 2018 with high impact.
1984,Middle East,Revolution,Medium,473489,0,A revolution occurred in Middle East around 1984 with medium impact.
1858,South America,Economic Crisis,Medium,0,214066637,A economic crisis occurred in South America around 1858 with medium impact.
1906,Oceania,War,Medium,447494,167784815,A war occurred in Oceania around 1906 with medium impact.
1970,North America,Economic Crisis,Low,0,368734232,A economic crisis occurred in North America around 1970 with low impact.
1921,Europe,War,Low,97758,231861940,A war occurred in Europe around 1921 with low impact.
1824,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 1824 with medium impact.
2007,Asia,Peace Treaty,Low,0,0,A peace treaty occurred in Asia around 2007 with low impact.
1950,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1950 with medium impact.
1971,Europe,Discovery,Medium,0,0,A discovery occurred in Europe around 1971 with medium impact.
1970,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1970 with high impact.
1813,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1813 with medium impact.
1890,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1890 with high impact.
1854,Asia,Reform,Medium,0,0,A reform occurred in Asia around 1854 with medium impact.
1857,Middle East,War,Medium,886438,298642752,A war occurred in Middle East around 1857 with medium impact.
1894,Europe,Pandemic,Medium,601987,0,A pandemic occurred in Europe around 1894 with medium impact.
1857,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1857 with high impact.
1996,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1996 with high impact.
1972,Oceania,Peace Treaty,Low,0,0,A peace treaty occurred in Oceania around 1972 with low impact.
1955,Oceania,Pandemic,High,280439,0,A pandemic occurred in Oceania around 1955 with high impact.
1807,Asia,Economic Crisis,High,0,409315492,A economic crisis occurred in Asia around 1807 with high impact.
1879,North America,Economic Crisis,Low,0,97391367,A economic crisis occurred in North America around 1879 with low impact.
1836,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1836 with medium impact.
1817,Asia,Reform,High,0,0,A reform occurred in Asia around 1817 with high impact.
1807,Europe,Reform,High,0,0,A reform occurred in Europe around 1807 with high impact.
1855,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1855 with medium impact.
1887,Asia,Economic Crisis,Medium,0,387403885,A economic crisis occurred in Asia around 1887 with medium impact.
1883,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1883 with high impact.
1821,Europe,Revolution,Low,791083,0,A revolution occurred in Europe around 1821 with low impact.
1958,Europe,Reform,Low,0,0,A reform occurred in Europe around 1958 with low impact.
1869,South America,Reform,Medium,0,0,A reform occurred in South America around 1869 with medium impact.
1924,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1924 with medium impact.
1869,Asia,Pandemic,High,119346,0,A pandemic occurred in Asia around 1869 with high impact.
1888,South America,War,Medium,711163,364259534,A war occurred in South America around 1888 with medium impact.
1951,South America,Peace Treaty,High,0,0,A peace treaty occurred in South America around 1951 with high impact.
1878,Europe,Revolution,Medium,628437,0,A revolution occurred in Europe around 1878 with medium impact.
1814,Europe,Revolution,Medium,991244,0,A revolution occurred in Europe around 1814 with medium impact.
1854,Middle East,Revolution,Medium,303507,0,A revolution occurred in Middle East around 1854 with medium impact.
1883,Europe,War,Medium,783301,231206151,A war occurred in Europe around 1883 with medium impact.
1844,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1844 with high impact.
1980,Asia,Peace Treaty,High,0,0,A peace treaty occurred in Asia around 1980 with high impact.
2013,Oceania,Pandemic,Medium,75576,0,A pandemic occurred in Oceania around 2013 with medium impact.
1901,Middle East,Reform,Low,0,0,A reform occurred in Middle East around 1901 with low impact.
1911,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 1911 with low impact.
2020,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 2020 with medium impact.
1946,South America,Reform,High,0,0,A reform occurred in South America around 1946 with high impact.
1906,North America,War,Medium,21869,174358591,A war occurred in North America around 1906 with medium impact.
1843,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 1843 with medium impact.
2012,Oceania,Economic Crisis,Low,0,234457851,A economic crisis occurred in Oceania around 2012 with low impact.
2016,Europe,Revolution,Medium,617476,0,A revolution occurred in Europe around 2016 with medium impact.
1902,Africa,War,Medium,912811,166577385,A war occurred in Africa around 1902 with medium impact.
1990,North America,Revolution,Medium,816964,0,A revolution occurred in North America around 1990 with medium impact.
1843,Europe,Peace Treaty,High,0,0,A peace treaty occurred in Europe around 1843 with high impact.
1829,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1829 with low impact.
1998,North America,Economic Crisis,High,0,439669680,A economic crisis occurred in North America around 1998 with high impact.
1965,Middle East,Revolution,Low,107798,0,A revolution occurred in Middle East around 1965 with low impact.
1837,North America,Revolution,Low,631661,0,A revolution occurred in North America around 1837 with low impact.
1839,Middle East,Pandemic,High,79013,0,A pandemic occurred in Middle East around 1839 with high impact.
1845,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1845 with medium impact.
1918,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1918 with high impact.
1914,Oceania,Peace Treaty,High,0,0,A peace treaty occurred in Oceania around 1914 with high impact.
1962,Africa,Economic Crisis,High,0,169725778,A economic crisis occurred in Africa around 1962 with high impact.
1838,South America,War,Medium,463688,338972304,A war occurred in South America around 1838 with medium impact.
1877,Middle East,Economic Crisis,High,0,30157177,A economic crisis occurred in Middle East around 1877 with high impact.
1890,Africa,War,Medium,484172,242619410,A war occurred in Africa around 1890 with medium impact.
1809,Europe,Economic Crisis,Medium,0,41194642,A economic crisis occurred in Europe around 1809 with medium impact.
1965,Middle East,Pandemic,Low,644883,0,A pandemic occurred in Middle East around 1965 with low impact.
1952,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1952 with medium impact.
1948,Africa,Pandemic,High,939394,0,A pandemic occurred in Africa around 1948 with high impact.
1810,South America,Pandemic,High,683501,0,A pandemic occurred in South America around 1810 with high impact.
1848,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1848 with medium impact.
1928,Asia,War,Medium,108529,435384491,A war occurred in Asia around 1928 with medium impact.
2014,North America,Reform,Low,0,0,A reform occurred in North America around 2014 with low impact.
1929,Oceania,Revolution,Low,259778,0,A revolution occurred in Oceania around 1929 with low impact.
1981,South America,Discovery,High,0,0,A discovery occurred in South America around 1981 with high impact.
1933,Africa,Revolution,Medium,390963,0,A revolution occurred in Africa around 1933 with medium impact.
1872,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1872 with medium impact.
1973,Africa,War,High,678748,179663501,A war occurred in Africa around 1973 with high impact.
1816,North America,War,High,711332,207535077,A war occurred in North America around 1816 with high impact.
1872,North America,Reform,High,0,0,A reform occurred in North America around 1872 with high impact.
1954,Middle East,Revolution,Medium,85461,0,A revolution occurred in Middle East around 1954 with medium impact.
1949,Oceania,Revolution,Medium,325301,0,A revolution occurred in Oceania around 1949 with medium impact.
1967,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 1967 with medium impact.
1833,Africa,Reform,Low,0,0,A reform occurred in Africa around 1833 with low impact.
1879,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1879 with high impact.
2002,North America,Pandemic,Low,702667,0,A pandemic occurred in North America around 2002 with low impact.
1979,Middle East,Reform,High,0,0,A reform occurred in Middle East around 1979 with high impact.
1934,Europe,Reform,High,0,0,A reform occurred in Europe around 1934 with high impact.
1908,Africa,Economic Crisis,Low,0,194668141,A economic crisis occurred in Africa around 1908 with low impact.
1879,Asia,Revolution,Medium,993702,0,A revolution occurred in Asia around 1879 with medium impact.
1996,South America,Revolution,Low,144247,0,A revolution occurred in South America around 1996 with low impact.
1839,Europe,Economic Crisis,Low,0,272563839,A economic crisis occurred in Europe around 1839 with low impact.
1997,Africa,Pandemic,High,926607,0,A pandemic occurred in Africa around 1997 with high impact.
1934,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1934 with medium impact.
1996,Africa,Revolution,High,395019,0,A revolution occurred in Africa around 1996 with high impact.
1839,Asia,Revolution,High,808554,0,A revolution occurred in Asia around 1839 with high impact.
1959,Middle East,Revolution,High,458933,0,A revolution occurred in Middle East around 1959 with high impact.
1811,South America,Economic Crisis,High,0,386324617,A economic crisis occurred in South America around 1811 with high impact.
1860,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1860 with medium impact.
1992,Oceania,Pandemic,Medium,245369,0,A pandemic occurred in Oceania around 1992 with medium impact.
1936,Asia,Economic Crisis,Medium,0,485317525,A economic crisis occurred in Asia around 1936 with medium impact.
2013,Asia,Economic Crisis,High,0,306241579,A economic crisis occurred in Asia around 2013 with high impact.
1912,South America,Pandemic,Medium,815922,0,A pandemic occurred in South America around 1912 with medium impact.
1897,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1897 with medium impact.
1841,Middle East,Revolution,High,145121,0,A revolution occurred in Middle East around 1841 with high impact.
1864,Europe,Reform,Medium,0,0,A reform occurred in Europe around 1864 with medium impact.
1895,Africa,War,High,886982,276976742,A war occurred in Africa around 1895 with high impact.
2017,Europe,Economic Crisis,Low,0,409695229,A economic crisis occurred in Europe around 2017 with low impact.
1841,North America,Discovery,High,0,0,A discovery occurred in North America around 1841 with high impact.
1837,Middle East,Discovery,Low,0,0,A discovery occurred in Middle East around 1837 with low impact.
1856,Middle East,Discovery,Medium,0,0,A discovery occurred in Middle East around 1856 with medium impact.
1806,South America,War,Medium,526392,200769046,A war occurred in South America around 1806 with medium impact.
1860,South America,War,Medium,235445,15133072,A war occurred in South America around 1860 with medium impact.
1881,Europe,Pandemic,High,681533,0,A pandemic occurred in Europe around 1881 with high impact.
1885,Middle East,Revolution,Low,40163,0,A revolution occurred in Middle East around 1885 with low impact.
1873,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1873 with high impact.
2012,Asia,Pandemic,High,491897,0,A pandemic occurred in Asia around 2012 with high impact.
1914,Africa,War,Low,19927,137398112,A war occurred in Africa around 1914 with low impact.
1855,Middle East,Revolution,High,985898,0,A revolution occurred in Middle East around 1855 with high impact.
1986,Africa,Peace Treaty,Medium,0,0,A peace treaty occurred in Africa around 1986 with medium impact.
1828,Middle East,Economic Crisis,Low,0,161679319,A economic crisis occurred in Middle East around 1828 with low impact.
1831,Europe,Revolution,Medium,669989,0,A revolution occurred in Europe around 1831 with medium impact.
2003,Africa,Discovery,Low,0,0,A discovery occurred in Africa around 2003 with low impact.
1828,Middle East,Discovery,High,0,0,A discovery occurred in Middle East around 1828 with high impact.
1937,Europe,Reform,High,0,0,A reform occurred in Europe around 1937 with high impact.
1947,Asia,Reform,Low,0,0,A reform occurred in Asia around 1947 with low impact.
1874,South America,War,High,369954,129151943,A war occurred in South America around 1874 with high impact.
1946,South America,Revolution,High,700674,0,A revolution occurred in South America around 1946 with high impact.
1821,Africa,Economic Crisis,Low,0,282426012,A economic crisis occurred in Africa around 1821 with low impact.
1939,Africa,Pandemic,High,581070,0,A pandemic occurred in Africa around 1939 with high impact.
1805,South America,Pandemic,Medium,45649,0,A pandemic occurred in South America around 1805 with medium impact.
1962,South America,Economic Crisis,Medium,0,401212542,A economic crisis occurred in South America around 1962 with medium impact.
1804,North America,Pandemic,Low,361551,0,A pandemic occurred in North America around 1804 with low impact.
1861,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1861 with high impact.
1826,Middle East,Peace Treaty,High,0,0,A peace treaty occurred in Middle East around 1826 with high impact.
1993,North America,Revolution,Low,369412,0,A revolution occurred in North America around 1993 with low impact.
1939,North America,Pandemic,High,183594,0,A pandemic occurred in North America around 1939 with high impact.
2012,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 2012 with medium impact.
1978,South America,Reform,Low,0,0,A reform occurred in South America around 1978 with low impact.
2007,Asia,War,High,813894,245714852,A war occurred in Asia around 2007 with high impact.
1809,North America,Revolution,Low,829538,0,A revolution occurred in North America around 1809 with low impact.
1851,Europe,Economic Crisis,Medium,0,276694456,A economic crisis occurred in Europe around 1851 with medium impact.
1901,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 1901 with medium impact.
1864,Europe,Pandemic,High,200386,0,A pandemic occurred in Europe around 1864 with high impact.
1873,North America,Pandemic,Low,907855,0,A pandemic occurred in North America around 1873 with low impact.
1967,North America,Economic Crisis,Low,0,429143691,A economic crisis occurred in North America around 1967 with low impact.
1894,South America,Discovery,High,0,0,A discovery occurred in South America around 1894 with high impact.
1912,South America,Economic Crisis,Low,0,266397079,A economic crisis occurred in South America around 1912 with low impact.
1977,South America,Economic Crisis,High,0,143194581,A economic crisis occurred in South America around 1977 with high impact.
2005,Europe,Reform,Medium,0,0,A reform occurred in Europe around 2005 with medium impact.
1820,South America,Peace Treaty,Low,0,0,A peace treaty occurred in South America around 1820 with low impact.
1939,North America,Economic Crisis,Low,0,42986670,A economic crisis occurred in North America around 1939 with low impact.
1883,Oceania,Economic Crisis,Medium,0,239399201,A economic crisis occurred in Oceania around 1883 with medium impact.
1954,Oceania,Discovery,Low,0,0,A discovery occurred in Oceania around 1954 with low impact.
1976,South America,Economic Crisis,Medium,0,22739252,A economic crisis occurred in South America around 1976 with medium impact.
1986,Middle East,Economic Crisis,High,0,233506904,A economic crisis occurred in Middle East around 1986 with high impact.
1870,Oceania,Pandemic,Low,78686,0,A pandemic occurred in Oceania around 1870 with low impact.
1971,Oceania,Discovery,Medium,0,0,A discovery occurred in Oceania around 1971 with medium impact.
1931,Middle East,Reform,High,0,0,A reform occurred in Middle East around 1931 with high impact.
1840,Europe,Revolution,High,711027,0,A revolution occurred in Europe around 1840 with high impact.
2000,South America,War,Low,70499,126699054,A war occurred in South America around 2000 with low impact.
1999,Oceania,Economic Crisis,Medium,0,205543388,A economic crisis occurred in Oceania around 1999 with medium impact.
1945,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1945 with low impact.
1973,South America,Economic Crisis,Medium,0,238338089,A economic crisis occurred in South America around 1973 with medium impact.
1995,Europe,Peace Treaty,Low,0,0,A peace treaty occurred in Europe around 1995 with low impact.
1935,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1935 with medium impact.
1966,North America,Revolution,Low,27172,0,A revolution occurred in North America around 1966 with low impact.
1988,Asia,Discovery,High,0,0,A discovery occurred in Asia around 1988 with high impact.
1899,Africa,War,Medium,812609,139742004,A war occurred in Africa around 1899 with medium impact.
1980,South America,Revolution,High,299449,0,A revolution occurred in South America around 1980 with high impact.
1977,South America,Revolution,Low,142321,0,A revolution occurred in South America around 1977 with low impact.
2018,Europe,Discovery,Low,0,0,A discovery occurred in Europe around 2018 with low impact.
1982,South America,War,High,886593,171577377,A war occurred in South America around 1982 with high impact.
1970,North America,Reform,Low,0,0,A reform occurred in North America around 1970 with low impact.
1940,Africa,Economic Crisis,Medium,0,457071521,A economic crisis occurred in Africa around 1940 with medium impact.
1840,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1840 with high impact.
1963,Asia,Pandemic,Medium,533469,0,A pandemic occurred in Asia around 1963 with medium impact.
1857,Europe,Revolution,Low,248235,0,A revolution occurred in Europe around 1857 with low impact.
2002,South America,War,Medium,580933,307239093,A war occurred in South America around 2002 with medium impact.
1894,South America,Pandemic,High,136074,0,A pandemic occurred in South America around 1894 with high impact.
1956,Europe,War,Medium,417500,384900794,A war occurred in Europe around 1956 with medium impact.
1984,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1984 with medium impact.
1996,South America,Pandemic,High,77333,0,A pandemic occurred in South America around 1996 with high impact.
1832,North America,Reform,Low,0,0,A reform occurred in North America around 1832 with low impact.
1915,South America,Reform,High,0,0,A reform occurred in South America around 1915 with high impact.
1888,Asia,Pandemic,High,670872,0,A pandemic occurred in Asia around 1888 with high impact.
1950,Asia,Pandemic,Low,453633,0,A pandemic occurred in Asia around 1950 with low impact.
1928,Middle East,War,Low,543269,82149553,A war occurred in Middle East around 1928 with low impact.
1877,Asia,Revolution,Medium,980143,0,A revolution occurred in Asia around 1877 with medium impact.
1981,Asia,Economic Crisis,High,0,480459695,A economic crisis occurred in Asia around 1981 with high impact.
1872,Middle East,War,Medium,205837,340943679,A war occurred in Middle East around 1872 with medium impact.
1941,North America,Revolution,High,317534,0,A revolution occurred in North America around 1941 with high impact.
1957,Africa,War,High,672124,90535709,A war occurred in Africa around 1957 with high impact.
1951,Africa,Revolution,Low,690731,0,A revolution occurred in Africa around 1951 with low impact.
1959,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1959 with medium impact.
2015,Africa,War,Low,85168,24407119,A war occurred in Africa around 2015 with low impact.
1964,Middle East,Peace Treaty,Medium,0,0,A peace treaty occurred in Middle East around 1964 with medium impact.
1966,Asia,Pandemic,High,436822,0,A pandemic occurred in Asia around 1966 with high impact.
1958,Oceania,War,Medium,932180,336706115,A war occurred in Oceania around 1958 with medium impact.
1939,North America,Reform,Medium,0,0,A reform occurred in North America around 1939 with medium impact.
1923,Asia,Pandemic,High,425818,0,A pandemic occurred in Asia around 1923 with high impact.
1876,South America,War,High,62823,84868795,A war occurred in South America around 1876 with high impact.
1912,South America,Discovery,Medium,0,0,A discovery occurred in South America around 1912 with medium impact.
1852,North America,Peace Treaty,Low,0,0,A peace treaty occurred in North America around 1852 with low impact.
1880,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1880 with medium impact.
1987,Middle East,Economic Crisis,Medium,0,70204542,A economic crisis occurred in Middle East around 1987 with medium impact.
1994,North America,Peace Treaty,High,0,0,A peace treaty occurred in North America around 1994 with high impact.
1827,North America,Revolution,Medium,128473,0,A revolution occurred in North America around 1827 with medium impact.
1868,South America,Revolution,Low,101514,0,A revolution occurred in South America around 1868 with low impact.
1812,North America,Discovery,High,0,0,A discovery occurred in North America around 1812 with high impact.
1907,Asia,Pandemic,Low,852993,0,A pandemic occurred in Asia around 1907 with low impact.
1883,Africa,Reform,Medium,0,0,A reform occurred in Africa around 1883 with medium impact.
1848,Middle East,Revolution,Medium,539728,0,A revolution occurred in Middle East around 1848 with medium impact.
1919,South America,Economic Crisis,Medium,0,12442682,A economic crisis occurred in South America around 1919 with medium impact.
1823,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1823 with medium impact.
1861,Asia,Peace Treaty,Medium,0,0,A peace treaty occurred in Asia around 1861 with medium impact.
1812,Europe,Economic Crisis,Medium,0,320790447,A economic crisis occurred in Europe around 1812 with medium impact.
2015,Oceania,Reform,Medium,0,0,A reform occurred in Oceania around 2015 with medium impact.
1873,Africa,War,Low,451860,71905772,A war occurred in Africa around 1873 with low impact.
1867,Oceania,Economic Crisis,Medium,0,196461120,A economic crisis occurred in Oceania around 1867 with medium impact.
1811,South America,War,High,589107,104504769,A war occurred in South America around 1811 with high impact.
1892,Africa,Economic Crisis,Low,0,207419444,A economic crisis occurred in Africa around 1892 with low impact.
1929,South America,Pandemic,High,293308,0,A pandemic occurred in South America around 1929 with high impact.
2011,Africa,Reform,High,0,0,A reform occurred in Africa around 2011 with high impact.
1830,Asia,War,Medium,391326,426757197,A war occurred in Asia around 1830 with medium impact.
1886,Africa,Economic Crisis,Low,0,106868386,A economic crisis occurred in Africa around 1886 with low impact.
1954,Africa,Discovery,High,0,0,A discovery occurred in Africa around 1954 with high impact.
1810,Europe,War,Low,748255,178799867,A war occurred in Europe around 1810 with low impact.
2005,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 2005 with medium impact.
1838,Africa,Peace Treaty,Low,0,0,A peace treaty occurred in Africa around 1838 with low impact.
1883,Africa,Economic Crisis,Low,0,210965885,A economic crisis occurred in Africa around 1883 with low impact.
1957,Oceania,Pandemic,Medium,622565,0,A pandemic occurred in Oceania around 1957 with medium impact.
1886,Africa,Pandemic,High,558198,0,A pandemic occurred in Africa around 1886 with high impact.
1925,Oceania,Peace Treaty,Medium,0,0,A peace treaty occurred in Oceania around 1925 with medium impact.
1921,Middle East,War,Medium,347329,361747055,A war occurred in Middle East around 1921 with medium impact.
1828,South America,Peace Treaty,Medium,0,0,A peace treaty occurred in South America around 1828 with medium impact.
2003,Oceania,Pandemic,High,659827,0,A pandemic occurred in Oceania around 2003 with high impact.
1806,Africa,Discovery,Medium,0,0,A discovery occurred in Africa around 1806 with medium impact.
1967,Middle East,Pandemic,High,605693,0,A pandemic occurred in Middle East around 1967 with high impact.
1858,Oceania,War,High,503787,91542966,A war occurred in Oceania around 1858 with high impact.
1934,Oceania,Reform,High,0,0,A reform occurred in Oceania around 1934 with high impact.
1998,Middle East,Discovery,Low,0,0,A discovery occurred in Middle East around 1998 with low impact.
2010,Oceania,Revolution,Low,600383,0,A revolution occurred in Oceania around 2010 with low impact.
1979,Europe,Revolution,Low,462462,0,A revolution occurred in Europe around 1979 with low impact.
1880,South America,Revolution,Medium,724042,0,A revolution occurred in South America around 1880 with medium impact.
1852,South America,Peace Treaty,High,0,0,A peace treaty occurred in South America around 1852 with high impact.
1920,Middle East,Pandemic,High,762736,0,A pandemic occurred in Middle East around 1920 with high impact.
1815,Oceania,Revolution,High,217413,0,A revolution occurred in Oceania around 1815 with high impact.
1943,North America,Reform,Medium,0,0,A reform occurred in North America around 1943 with medium impact.
1934,South America,Economic Crisis,Low,0,246779977,A economic crisis occurred in South America around 1934 with low impact.
1936,North America,Peace Treaty,Medium,0,0,A peace treaty occurred in North America around 1936 with medium impact.
1973,Middle East,Pandemic,High,713813,0,A pandemic occurred in Middle East around 1973 with high impact.
1964,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1964 with medium impact.
1956,South America,Revolution,Low,292559,0,A revolution occurred in South America around 1956 with low impact.
1942,North America,Revolution,Medium,808634,0,A revolution occurred in North America around 1942 with medium impact.
1873,Oceania,Revolution,High,739233,0,A revolution occurred in Oceania around 1873 with high impact.
1925,North America,Discovery,Medium,0,0,A discovery occurred in North America around 1925 with medium impact.
1943,Middle East,Reform,Medium,0,0,A reform occurred in Middle East around 1943 with medium impact.
